Id,mean_exam_points
10000,54.31185270425777
10001,61.51517939282429
10002,48.9419795221843
10003,78.95593108018555
10004,78.95593108018555
10005,57.225563909774436
10006,48.9419795221843
10007,51.64525139664804
10008,61.51517939282429
10009,78.95593108018555
10010,51.64525139664804
10011,60.53234200743494
10012,48.9419795221843
10013,78.95593108018555
10014,61.51517939282429
10015,61.51517939282429
10016,78.95593108018555
10017,54.31185270425777
10018,57.225563909774436
10019,54.31185270425777
10020,78.95593108018555
10021,61.51517939282429
10022,61.51517939282429
10023,57.225563909774436
10024,57.225563909774436
10025,78.95593108018555
10026,60.53234200743494
10027,51.64525139664804
10028,60.53234200743494
10029,57.225563909774436
10030,78.95593108018555
10031,57.225563909774436
10032,48.9419795221843
10033,51.64525139664804
10034,48.9419795221843
10035,78.95593108018555
10036,57.225563909774436
10037,78.95593108018555
10038,60.53234200743494
10039,78.95593108018555
10040,78.95593108018555
10041,61.51517939282429
10042,61.51517939282429
10043,60.53234200743494
10044,60.53234200743494
10045,48.9419795221843
10046,48.9419795221843
10047,48.9419795221843
10048,61.51517939282429
10049,78.95593108018555
10050,48.9419795221843
10051,78.95593108018555
10052,54.31185270425777
10053,61.51517939282429
10054,57.225563909774436
10055,60.53234200743494
10056,78.95593108018555
10057,54.31185270425777
10058,61.51517939282429
10059,78.95593108018555
10060,61.51517939282429
10061,57.225563909774436
10062,57.225563909774436
10063,54.31185270425777
10064,61.51517939282429
10065,51.64525139664804
10066,48.9419795221843
10067,78.95593108018555
10068,60.53234200743494
10069,60.53234200743494
10070,61.51517939282429
10071,60.53234200743494
10072,54.31185270425777
10073,54.31185270425777
10074,61.51517939282429
10075,60.53234200743494
10076,78.95593108018555
10077,60.53234200743494
10078,61.51517939282429
10079,78.95593108018555
10080,60.53234200743494
10081,60.53234200743494
10082,78.95593108018555
10083,78.95593108018555
10084,61.51517939282429
10085,60.53234200743494
10086,78.95593108018555
10087,78.95593108018555
10088,48.9419795221843
10089,78.95593108018555
10090,54.31185270425777
10091,48.9419795221843
10092,57.225563909774436
10093,61.51517939282429
10094,61.51517939282429
10095,61.51517939282429
10096,78.95593108018555
10097,61.51517939282429
10098,78.95593108018555
10099,54.31185270425777
10100,78.95593108018555
10101,57.225563909774436
10102,60.53234200743494
10103,61.51517939282429
10104,61.51517939282429
10105,78.95593108018555
10106,54.31185270425777
10107,54.31185270425777
10108,61.51517939282429
10109,48.9419795221843
10110,57.225563909774436
10111,48.9419795221843
10112,61.51517939282429
10113,60.53234200743494
10114,61.51517939282429
10115,78.95593108018555
10116,48.9419795221843
10117,78.95593108018555
10118,48.9419795221843
10119,60.53234200743494
10120,61.51517939282429
10121,48.9419795221843
10122,78.95593108018555
10123,57.225563909774436
10124,61.51517939282429
10125,78.95593108018555
10126,48.9419795221843
10127,60.53234200743494
10128,54.31185270425777
10129,54.31185270425777
10130,78.95593108018555
10131,60.53234200743494
10132,48.9419795221843
10133,78.95593108018555
10134,78.95593108018555
10135,78.95593108018555
10136,78.95593108018555
10137,51.64525139664804
10138,78.95593108018555
10139,61.51517939282429
10140,60.53234200743494
10141,61.51517939282429
10142,78.95593108018555
10143,61.51517939282429
10144,48.9419795221843
